synonym,standard_id,type
HOSC1,CVCL_IW50,cell
HPAC,CVCL_3517,cell
HPAF-II,CVCL_0313,cell
HPAF2,CVCL_0313,cell
HPB-ALL,CVCL_1820,cell
HS294T,CVCL_0331,cell
HS578T,CVCL_0332,cell
HS683,CVCL_0844,cell
HS695T,CVCL_0851,cell
HS700T,CVCL_0858,cell
HS729,CVCL_0871,cell
HS729T,CVCL_0871,cell
HS746T,CVCL_0333,cell
HS766T,CVCL_0334,cell
HS852T,CVCL_0950,cell
HS891T,CVCL_0985,cell
HS936T,CVCL_1033,cell
HS939T,CVCL_1036,cell
HS944T,CVCL_1040,cell
HSB2,CVCL_1859,cell
HSC-2,CVCL_1287,cell
HSC-3,CVCL_1288,cell
HSC-39,CVCL_A385,cell
HSC-4,CVCL_1289,cell
HSC1,CVCL_2807,cell
HSC2,CVCL_1287,cell
HSC3,CVCL_1288,cell
HSSY-II,CVCL_8719,cell
HT,CVCL_1290,cell
HT-1080,CVCL_0317,cell
HT-115,CVCL_2520,cell
HT-1197,CVCL_1291,cell
HT-1376,CVCL_1292,cell
HT-144,CVCL_0318,cell
HT-29,CVCL_0320,cell
HT-3,CVCL_1293,cell
HT1080,CVCL_0317,cell
HT115,CVCL_2520,cell
HT1197,CVCL_1291,cell
HT1376,CVCL_1292,cell
HT144,CVCL_0318,cell
HT161,CVCL_C834,cell
HT29,CVCL_0320,cell
HT3,CVCL_1293,cell
HT55,CVCL_1294,cell
HTC-C3,CVCL_1295,cell
HTK-,CVCL_2522,cell
HUCCT1,CVCL_0324,cell
HUH1,CVCL_2956,cell
HUH28,CVCL_2955,cell
HUH6,CVCL_4381,cell
HUH7,CVCL_0336,cell
HUNS1,CVCL_2526,cell
HUO9,CVCL_1298,cell
HUP-T3,CVCL_1299,cell
HUP-T4,CVCL_1300,cell
HUPT3,CVCL_1299,cell
HeLa,CVCL_0030,cell
Hep 3B2.1-7,CVCL_0326,cell
Hep G2,CVCL_0027,cell
Hep3B2-1-7,CVCL_0326,cell
Hey,CVCL_0297,cell
Hey-A8,CVCL_8878,cell
Hs 132.T,CVCL_0648,cell
Hs 172.T,CVCL_0660,cell
Hs 229.T,CVCL_0698,cell
Hs 255.T,CVCL_0707,cell
Hs 274.T,CVCL_0711,cell
Hs 281.T,CVCL_0715,cell
Hs 294T,CVCL_0331,cell
Hs 343.T,CVCL_0726,cell
Hs 414.T,CVCL_0755,cell
Hs 571.T,CVCL_0802,cell
Hs 578T,CVCL_0332,cell
Hs 600.T,CVCL_0814,cell
Hs 604.T,CVCL_0816,cell
Hs 606.T,CVCL_0819,cell
Hs 611.T,CVCL_0823,cell
Hs 616.T,CVCL_0825,cell
Hs 618.T,CVCL_0827,cell
Hs 675.T,CVCL_0836,cell
Hs 683,CVCL_0844,cell
Hs 688(A).T,CVCL_0846,cell
Hs 695T,CVCL_0851,cell
Hs 698.T,CVCL_0855,cell
Hs 706.T,CVCL_0863,cell
Hs 729,CVCL_0871,cell
Hs 737.T,CVCL_0878,cell
Hs 739.T,CVCL_0882,cell
Hs 742.T,CVCL_0888,cell
Hs 746T,CVCL_0333,cell
Hs 751.T,CVCL_0891,cell
Hs 766T,CVCL_0334,cell
Hs 819.T,CVCL_0928,cell
Hs 821.T,CVCL_0932,cell
Hs 822.T,CVCL_0933,cell
Hs 834.T,CVCL_0938,cell
Hs 839.T,CVCL_0941,cell
Hs 840.T,CVCL_0942,cell
Hs 852.T,CVCL_0950,cell
Hs 863.T,CVCL_0959,cell
Hs 870.T,CVCL_0966,cell
Hs 888.T,CVCL_0979,cell
Hs 895.T,CVCL_0993,cell
Hs 913.T,CVCL_1017,cell
Hs 93.T,CVCL_1029,cell
Hs 934.T,CVCL_1031,cell
Hs 936.T,CVCL_1033,cell
Hs 939.T,CVCL_1036,cell
Hs 940.T,CVCL_1038,cell
Hs 944.T,CVCL_1040,cell
Hs-445,CVCL_0761,cell
Hs-578-T,CVCL_0332,cell
Hs-633T,CVCL_0832,cell
Hs-683,CVCL_0844,cell
Hs-746T,CVCL_0333,cell
Hs-766T,CVCL_0334,cell
Hs-939-T,CVCL_1036,cell
Hs-940-T,CVCL_1038,cell
Hu09,CVCL_1298,cell
HuCCT1,CVCL_0324,cell
HuG1-N,CVCL_4846,cell
HuH-6,CVCL_4381,cell
HuH-7,CVCL_0336,cell
HuH28,CVCL_2955,cell
HuNS1,CVCL_2526,cell
HuO-3N1,CVCL_1297,cell
HuO9,CVCL_1298,cell
HuP-T3,CVCL_1299,cell
HuP-T4,CVCL_1300,cell
HuT 102,CVCL_3526,cell
HuT 78,CVCL_0337,cell
HuTu 80,CVCL_1301,cell
HuTu-80,CVCL_1301,cell
IA-LM,CVCL_1302,cell
IALM,CVCL_1302,cell
ICC106,CVCL_A1UZ,cell
ICC108,CVCL_A1VA,cell
ICC12,CVCL_A1VC,cell
ICC15,CVCL_A1VE,cell
ICC2,CVCL_VV27,cell
ICC3,CVCL_A1ZB,cell
ICC8,CVCL_A1VG,cell
ICC9,CVCL_A1VH,cell
IGR-1,CVCL_1303,cell
IGR-37,CVCL_2075,cell
IGR-39,CVCL_2076,cell
IGR1,CVCL_1303,cell
IGR37,CVCL_2075,cell
IGR39,CVCL_2076,cell
IGROV-1,CVCL_1304,cell
IGROV1,CVCL_1304,cell
IHH-4,CVCL_2960,cell
IM-9,CVCL_1305,cell
IM-95,CVCL_2961,cell
IM95,CVCL_2961,cell
IMR-32,CVCL_0346,cell
IMR-5,CVCL_1306,cell
IMR32,CVCL_0346,cell
INA6,CVCL_5209,cell
IOMM-Lee,CVCL_5779,cell
IPC-298,CVCL_1307,cell
IPC298,CVCL_1307,cell
ISHIKAWAHERAKLIO02ER,CVCL_6543,cell
IST-MEL1,CVCL_1308,cell
IST-MES1,CVCL_1311,cell
IST-MES2,CVCL_1312,cell
IST-SL1,CVCL_1313,cell
IST-SL2,CVCL_1314,cell
ISTMES1,CVCL_1311,cell
ISTMES2,CVCL_1312,cell
Ishikawa (Heraklio) 02 ER-,CVCL_6543,cell
J82,CVCL_0359,cell
JAR,CVCL_0360,cell
JEG-3,CVCL_0363,cell
JEG3,CVCL_0363,cell
JEKO-1,CVCL_1865,cell
JEKO1,CVCL_1865,cell
JH-EsoAd1,CVCL_8098,cell
JHC7,CVCL_L154,cell
JHH-1,CVCL_2785,cell
JHH-136,CVCL_VT28,cell
JHH-2,CVCL_2786,cell
JHH-4,CVCL_2787,cell
JHH-5,CVCL_0364,cell
JHH-520,CVCL_VT33,cell
JHH-6,CVCL_2788,cell
JHH-7,CVCL_2805,cell
JHH-DIPG-1,CVCL_IT47,cell
JHH1,CVCL_2785,cell
JHH2,CVCL_2786,cell
JHH4,CVCL_2787,cell
JHH5,CVCL_0364,cell
JHH6,CVCL_2788,cell
JHH7,CVCL_2805,cell
JHOC-5,CVCL_4640,cell
JHOC5,CVCL_4640,cell
JHOM-1,CVCL_4644,cell
JHOM-2B,CVCL_4645,cell
JHOM1,CVCL_4644,cell
JHOS-2,CVCL_4647,cell
JHOS-3,CVCL_4648,cell
JHOS-4,CVCL_4649,cell
JHOS2,CVCL_4647,cell
JHOS4,CVCL_4649,cell
JHU-011,CVCL_5986,cell
JHU-022,CVCL_5991,cell
JHU-029,CVCL_5993,cell
JHU011,CVCL_5986,cell
JHU022,CVCL_5991,cell
JHU029,CVCL_5993,cell
JHUEM-1,CVCL_4655,cell
JHUEM-2,CVCL_4656,cell
JHUEM-3,CVCL_4657,cell
JHUEM1,CVCL_4655,cell
JHUEM2,CVCL_4656,cell
JHUEM7,CVCL_4658,cell
JIM3,CVCL_2533,cell
JIMT-1,CVCL_2077,cell
JIMT1,CVCL_2077,cell
JIYOYE,CVCL_1317,cell
JJ012,CVCL_D605,cell
JJN-3,CVCL_2078,cell
JJN3,CVCL_2078,cell
JK-1,CVCL_2079,cell
JK-6L,CVCL_0C41,cell
JL-1,CVCL_2080,cell
JM1,CVCL_3532,cell
JMSU-1,CVCL_2081,cell
JMSU1,CVCL_2081,cell
JMURTK2,CVCL_4W58,cell
JOPACA1,CVCL_S507,cell
JSC-1,CVCL_3728,cell
JURKAT,CVCL_0065,cell
JURL-MK1,CVCL_2086,cell
JURLMK1,CVCL_2086,cell
JVM-2,CVCL_1319,cell
JVM-3,CVCL_1320,cell
JVM13,CVCL_1318,cell
JVM2,CVCL_1319,cell
JeKo-1,CVCL_1865,cell
JiyoyeP-2003,CVCL_1317,cell
Jurkat,CVCL_0065,cell
K-562,CVCL_0004,cell
K029AX,CVCL_8784,cell
K5,CVCL_1322,cell
K562,CVCL_0004,cell
KALS-1,CVCL_1323,cell
KALS1,CVCL_1323,cell
KARPAS-1106P,CVCL_1821,cell
KARPAS-231,CVCL_1822,cell
KARPAS-299,CVCL_1324,cell
KARPAS-422,CVCL_1325,cell
KARPAS-45,CVCL_1326,cell
KARPAS-620,CVCL_1823,cell
KARPAS1106P,CVCL_1821,cell
KARPAS231,CVCL_1822,cell
KARPAS299,CVCL_1324,cell
KARPAS422,CVCL_1325,cell
KASUMI-1,CVCL_0589,cell
KASUMI-2,CVCL_0590,cell
KASUMI1,CVCL_0589,cell
KASUMI2,CVCL_0590,cell
KASUMI3,CVCL_0612,cell
KATO III,CVCL_0371,cell
KATOIII,CVCL_0371,cell
KCI-MOH1,CVCL_2090,cell
KCL-22,CVCL_2091,cell
KCL22,CVCL_2091,cell
KD,CVCL_U757,cell
KE-37,CVCL_1327,cell
KE-39,CVCL_3385,cell
KE-97,CVCL_3386,cell
KE39,CVCL_3385,cell
KE97,CVCL_3386,cell
KELLY,CVCL_2092,cell
KG-1,CVCL_0374,cell
KG-1-C,CVCL_2971,cell
KG-1a,CVCL_1824,cell
KG1,CVCL_0374,cell
KGN,CVCL_0375,cell
KHM-11,CVCL_A633,cell
KHM-1B,CVCL_2972,cell
KHOS NP,CVCL_2546,cell
KHOS-240S,CVCL_2544,cell
KHOS-312H,CVCL_2545,cell
KHOS240S,CVCL_2544,cell
KHOS312H,CVCL_2545,cell
KIJK,CVCL_2093,cell
KINGS-1,CVCL_1328,cell
KK,CVCL_F844,cell
KKU100,CVCL_3996,cell
KKU213,CVCL_M261,cell
KLE,CVCL_1329,cell
KLM-1,CVCL_5146,cell
KM-H2,CVCL_1330,cell
KM12,CVCL_1331,cell
KMBC-2,CVCL_2977,cell
KMBC2,CVCL_2977,cell
KMCH1,CVCL_7970,cell
KMH-2,CVCL_1330,cell
KMH2,CVCL_1330,cell
KMM-1,CVCL_2981,cell
KMM1,CVCL_2981,cell
KMOE-2,CVCL_1332,cell
KMRC-1,CVCL_2983,cell
KMRC-2,CVCL_2984,cell
KMRC-20,CVCL_2986,cell
KMRC-3,CVCL_2985,cell
KMRC1,CVCL_2983,cell
KMRC20,CVCL_2986,cell
KMRC3,CVCL_2985,cell
KMS-11,CVCL_2989,cell
KMS-12-BM,CVCL_1334,cell
KMS-12-PE,CVCL_1333,cell
KMS-18,CVCL_A637,cell
KMS-20,CVCL_2990,cell
KMS-21BM,CVCL_2991,cell
KMS-26,CVCL_2992,cell
KMS-27,CVCL_2993,cell
KMS-28BM,CVCL_2994,cell
KMS-34,CVCL_2996,cell
KMS11,CVCL_2989,cell
KMS12BM,CVCL_1334,cell
KMS12PE,CVCL_1333,cell
KMS18,CVCL_A637,cell
KMS20,CVCL_2990,cell
KMS26,CVCL_2992,cell
KMS27,CVCL_2993,cell
KMS34,CVCL_2996,cell
KNS-42,CVCL_0378,cell
KNS-60,CVCL_2798,cell
KNS-62,CVCL_1335,cell
KNS-81,CVCL_2799,cell
KNS-81-FD,CVCL_2799,cell
KNS42,CVCL_0378,cell
KNS60,CVCL_2798,cell
KNS62,CVCL_1335,cell
KNS81,CVCL_2799,cell
KO52,CVCL_1321,cell
KOC7C,CVCL_5307,cell
KON,CVCL_3001,cell
KOPN-8,CVCL_1866,cell
KOPN8,CVCL_1866,cell
KOSC-2,CVCL_1337,cell
KP-1N,CVCL_3002,cell
KP-2,CVCL_3004,cell
KP-3,CVCL_3005,cell
KP-4,CVCL_1338,cell
KP-N-RT-BM-1,CVCL_1339,cell
KP-N-SI9s,CVCL_1340,cell
KP-N-YN,CVCL_1341,cell
KP-N-YS,CVCL_1342,cell
KP2,CVCL_3004,cell
KP3,CVCL_3005,cell
KP4,CVCL_1338,cell
KPL-1,CVCL_2094,cell
KPL1,CVCL_2094,cell
KPMRTRY,CVCL_7051,cell
KPNYN,CVCL_1341,cell
KS-1,CVCL_1343,cell
KU-19-19,CVCL_1344,cell
KU1919,CVCL_1344,cell
KU812,CVCL_0379,cell
KURAMOCHI,CVCL_1345,cell
KY821,CVCL_1346,cell
KYAE-1,CVCL_1825,cell
KYM-1,CVCL_3007,cell
KYO-1,CVCL_2095,cell
KYO1,CVCL_2095,cell
KYSE-140,CVCL_1347,cell
KYSE-150,CVCL_1348,cell
KYSE-180,CVCL_1349,cell
KYSE-220,CVCL_1359,cell
KYSE-270,CVCL_1350,cell
KYSE-30,CVCL_1351,cell
KYSE-410,CVCL_1352,cell
KYSE-450,CVCL_1353,cell
KYSE-50,CVCL_1360,cell
KYSE-510,CVCL_1354,cell
KYSE-520,CVCL_1355,cell
KYSE-70,CVCL_1356,cell
KYSE140,CVCL_1347,cell
KYSE150,CVCL_1348,cell
KYSE180,CVCL_1349,cell
KYSE270,CVCL_1350,cell
KYSE30,CVCL_1351,cell
KYSE410,CVCL_1352,cell
KYSE450,CVCL_1353,cell
KYSE510,CVCL_1354,cell
KYSE520,CVCL_1355,cell
KYSE70,CVCL_1356,cell
Karpas-1718,CVCL_2539,cell
Karpas-25,CVCL_2540,cell
Karpas-620,CVCL_1823,cell
Kasumi-6,CVCL_0614,cell
Ki-JK,CVCL_2093,cell
L-1236,CVCL_2096,cell
L-363,CVCL_1357,cell
L-428,CVCL_1361,cell
L-540,CVCL_1362,cell
L1236,CVCL_2096,cell
L3.3,CVCL_8147,cell
L33,CVCL_8147,cell
L363,CVCL_1357,cell
L591,CVCL_1867,cell
LAMA-84,CVCL_0388,cell
LAN-6,CVCL_1363,cell
LAN2,CVCL_1829,cell
LB1047-RCC,CVCL_1364,cell
LB2241-RCC,CVCL_1365,cell
LB2518-MEL,CVCL_1366,cell
LB373-MEL-D,CVCL_1367,cell
LB647-SCLC,CVCL_1368,cell
LB771-HNC,CVCL_1369,cell
LB831-BLC,CVCL_1370,cell
LB996-RCC,CVCL_1371,cell
LC-1-sq,CVCL_3008,cell
LC-1/sq-SF,CVCL_5480,cell
LC-1F,CVCL_1372,cell
LC-2-ad,CVCL_1373,cell
LC1SQSF,CVCL_5480,cell
LC4-1,CVCL_1374,cell
LC:A549/ATCC,CVCL_0023,cell
LC:EKVX,CVCL_1195,cell
LC:HOP-62,CVCL_1285,cell
LC:HOP-92,CVCL_1286,cell
LC:NCI-H226,CVCL_1544,cell
LC:NCI-H23,CVCL_1547,cell
LC:NCI-H322M,CVCL_1556,cell
LC:NCI-H460,CVCL_0459,cell
LC:NCI-H522,CVCL_1567,cell
LCLC-103H,CVCL_1375,cell
LCLC-97TM1,CVCL_1376,cell
LCLC103H,CVCL_1375,cell
LCLC97TM1,CVCL_1376,cell
LE:CCRF-CEM,CVCL_0207,cell
LE:HL-60(TB),CVCL_0002,cell
LE:K-562,CVCL_0004,cell
LE:MOLT-4,CVCL_0013,cell
LE:RPMI-8226,CVCL_0014,cell
LE:SR,CVCL_1711,cell
LI7,CVCL_3840,cell
LK-2,CVCL_1377,cell
LK2,CVCL_1377,cell
LMSU,CVCL_4849,cell
LN-18,CVCL_0392,cell
LN-215,CVCL_3954,cell
LN-229,CVCL_0393,cell
LN-235,CVCL_3957,cell
LN-319,CVCL_3958,cell
LN-340,CVCL_3955,cell
LN-405,CVCL_1378,cell
LN-428,CVCL_3959,cell
LN-443,CVCL_3960,cell
LN-464,CVCL_3962,cell
LN18,CVCL_0392,cell
LN229,CVCL_0393,cell
LN235,CVCL_3957,cell
LN319,CVCL_3958,cell
LN340,CVCL_3955,cell
LN382,CVCL_3956,cell
LN443,CVCL_3960,cell
LN464,CVCL_3962,cell
LNCAPCLONEFGC,CVCL_1379,cell
LNCaP clone FGC,CVCL_1379,cell
LNCaP-Clone-FGC,CVCL_1379,cell
LNZ308,CVCL_0394,cell
LNZTA3WT4,CVCL_3540,cell
LOU-NH91,CVCL_2104,cell
LOUCY,CVCL_1380,cell
LOUNH91,CVCL_2104,cell
LOVO,CVCL_0399,cell
LOX IMVI,CVCL_1381,cell
LOXIMVI,CVCL_1381,cell
LP-1,CVCL_0012,cell
LP1,CVCL_0012,cell
LPS141,CVCL_M823,cell
LPS27,CVCL_A1VQ,cell
LPS6,CVCL_A1VR,cell
LPS853,CVCL_V415,cell
LS,CVCL_2105,cell
LS 180,CVCL_0397,cell
LS-1034,CVCL_1382,cell
LS-123,CVCL_1383,cell
LS-180,CVCL_0397,cell
LS-411N,CVCL_1385,cell
LS-513,CVCL_1386,cell
LS030609,CVCL_IW35,cell
LS060208,CVCL_IW36,cell
LS1034,CVCL_1382,cell
LS123,CVCL_1383,cell
LS141,CVCL_M823,cell
LS174T,CVCL_1384,cell
LS180,CVCL_0397,cell
LS411N,CVCL_1385,cell
LS513,CVCL_1386,cell
LU-134-A,CVCL_1387,cell
LU-135,CVCL_1389,cell
LU-139,CVCL_1390,cell
LU-165,CVCL_1391,cell
LU-65,CVCL_1392,cell
LU-99A,CVCL_1393,cell
LU135,CVCL_1389,cell
LU65,CVCL_1392,cell
LU99,CVCL_1393,cell
LUDLU-1,CVCL_2582,cell
LUDLU1,CVCL_2582,cell
LXF-289,CVCL_1394,cell
LXF289,CVCL_1394,cell
LXFS 605L,CVCL_E7EL,cell
LXFS 650L,CVCL_E7EM,cell
LY3,CVCL_8800,cell
Li-7,CVCL_3840,cell
LoVo,CVCL_0399,cell
Loucy,CVCL_1380,cell
M-07e,CVCL_2106,cell
M059J,CVCL_0400,cell
M059K,CVCL_0401,cell
M14,CVCL_1395,cell
M202,CVCL_D746,cell
M207,CVCL_D747,cell
M229,CVCL_D748,cell
M230,CVCL_D749,cell
M233,CVCL_D750,cell
M238,CVCL_D751,cell
M244,CVCL_D753,cell
M245,CVCL_D754,cell
M257,CVCL_D757,cell
M262,CVCL_D758,cell
M263,CVCL_D759,cell
M275,CVCL_D760,cell
M285,CVCL_D761,cell
M288,CVCL_D762,cell
M296,CVCL_D763,cell
M299,CVCL_D765,cell
M308,CVCL_D766,cell
M318,CVCL_D767,cell
M328,CVCL_IW41,cell
M368,CVCL_D769,cell
M375,CVCL_D770,cell
MALME3M,CVCL_1438,cell
MB1,CVCL_2109,cell
MC-IXC,CVCL_1398,cell
MC116,CVCL_1399,cell
MCAS,CVCL_3020,cell
MCC13,CVCL_2583,cell
MCC142,CVCL_2584,cell
MCC26,CVCL_2585,cell
MCF10A,CVCL_0598,cell
MCF7,CVCL_0031,cell
MDA PCa 2b,CVCL_4748,cell
MDA-MB-134-VI,CVCL_0617,cell
MDA-MB-157,CVCL_0618,cell
MDA-MB-175-VII,CVCL_1400,cell
MDA-MB-231,CVCL_0062,cell
MDA-MB-330,CVCL_0619,cell
MDA-MB-361,CVCL_0620,cell
MDA-MB-415,CVCL_0621,cell
MDA-MB-435S,CVCL_0622,cell
MDA-MB-436,CVCL_0623,cell
MDA-MB-453,CVCL_0418,cell
MDA-MB-468,CVCL_0419,cell
MDA1186,CVCL_6977,cell
MDA1386TU,CVCL_H542,cell
MDA1586,CVCL_6981,cell
MDA1686,CVCL_AT79,cell
MDA886LN,CVCL_6987,cell
MDAMB134VI,CVCL_0617,cell
MDAMB157,CVCL_0618,cell
MDAMB175VII,CVCL_1400,cell
MDAMB231,CVCL_0062,cell
MDAMB361,CVCL_0620,cell
MDAMB415,CVCL_0621,cell
MDAMB435S,CVCL_0622,cell
MDAMB436,CVCL_0623,cell
MDAMB453,CVCL_0418,cell
MDAMB468,CVCL_0419,cell
MDST8,CVCL_2588,cell
ME-1,CVCL_2110,cell
ME-1 [Human leukemia],CVCL_2110,cell
ME-180,CVCL_1401,cell
ME:LOX IMVI,CVCL_1381,cell
ME:M14,CVCL_1395,cell
ME:MALME-3M,CVCL_1438,cell
ME:MDA-MB-435,CVCL_0622,cell
ME:MDA-N,CVCL_1910,cell
ME:SK-MEL-2,CVCL_0069,cell
ME:SK-MEL-28,CVCL_0526,cell
ME:SK-MEL-5,CVCL_0527,cell
ME:UACC-257,CVCL_1779,cell
ME:UACC-62,CVCL_1780,cell
MEC-1,CVCL_1870,cell
MEC-2,CVCL_1871,cell
MEC1,CVCL_1870,cell
MEG-01,CVCL_0425,cell
MEL-HO,CVCL_1402,cell
MEL-JUSO,CVCL_1403,cell
MEL202,CVCL_C301,cell
MEL285,CVCL_C303,cell
MEL290,CVCL_C304,cell
MELHO,CVCL_1402,cell
MELJUSO,CVCL_1403,cell
MERO14,CVCL_2590,cell
MERO82,CVCL_2594,cell
MES-SA,CVCL_1404,cell
MES-SA Dx5,CVCL_2598,cell
MESSA,CVCL_1404,cell
MEWO,CVCL_0445,cell
MFE-280,CVCL_1405,cell
MFE-296,CVCL_1406,cell
MFE-319,CVCL_2112,cell
MFE280,CVCL_1405,cell
MFE296,CVCL_1406,cell
MFE319,CVCL_2112,cell
MFH-ino,CVCL_1407,cell
MFM-223,CVCL_1408,cell
MFM223,CVCL_1408,cell
MG-63,CVCL_0426,cell
MG63,CVCL_0426,cell
MHH-CALL-2,CVCL_1409,cell
MHH-CALL-3,CVCL_0089,cell
MHH-CALL-4,CVCL_1410,cell
MHH-ES-1,CVCL_1411,cell
MHH-NB-11,CVCL_1412,cell
MHH-PREB-1,CVCL_1413,cell
MHHES1,CVCL_1411,cell
MHHNB11,CVCL_1412,cell
MHHPREB1,CVCL_1413,cell
MHM-25,CVCL_GZ63,cell
MHM-8,CVCL_GZ64,cell
MIA PaCa-2,CVCL_0428,cell
MIA-PaCa-2,CVCL_0428,cell
MIAPACA2,CVCL_0428,cell
MINO,CVCL_1872,cell
MJ,CVCL_1414,cell
MKN-45,CVCL_0434,cell
MKN1,CVCL_1415,cell
MKN28,CVCL_1416,cell
MKN45,CVCL_0434,cell
MKN7,CVCL_1417,cell
MKN74,CVCL_2791,cell
ML-1,CVCL_H525,cell
ML-2,CVCL_1418,cell
MLMA,CVCL_1419,cell
MM-M1,CVCL_M547,cell
MM.1-144,CVCL_EI97,cell
MM1-S,CVCL_8792,cell
MM1.R,CVCL_8794,cell
MM1.S,CVCL_8792,cell
MM127,CVCL_2601,cell
MM1S,CVCL_8792,cell
MM370,CVCL_2605,cell
MM383,CVCL_2606,cell
MM386,CVCL_2607,cell
MM426,CVCL_2609,cell
MMAc-SF,CVCL_1420,cell
MN-60,CVCL_1421,cell
MN60,CVCL_1421,cell
MNNGHOS,CVCL_0439,cell
MOG-G-CCM,CVCL_2613,cell
MOG-G-UVW,CVCL_2614,cell
MOLM-13,CVCL_2119,cell
MOLM-14,CVCL_7916,cell
MOLM-16,CVCL_2120,cell
MOLM-6,CVCL_2122,cell
MOLM13,CVCL_2119,cell
MOLP-2,CVCL_2123,cell
MOLP-8,CVCL_2124,cell
MOLP8,CVCL_2124,cell
MOLT-13,CVCL_1422,cell
MOLT-16,CVCL_1424,cell
MOLT-4,CVCL_0013,cell
MOLT3,CVCL_0624,cell
MOLT4,CVCL_0013,cell
MON,CVCL_M846,cell
MONO-MAC-1,CVCL_1425,cell
MONO-MAC-6,CVCL_1426,cell
MONOMAC1,CVCL_1425,cell
MOR/CPR,CVCL_2620,cell
MORCPR,CVCL_2620,cell
MOTN-1,CVCL_2127,cell
MPP 89,CVCL_1427,cell
MPP-89,CVCL_1427,cell
MPP89,CVCL_1427,cell
MRC-9,CVCL_2629,cell
MRK-nu-1,CVCL_1428,cell
MS-1,CVCL_1429,cell
MS751,CVCL_4996,cell
MSK922,CVCL_6989,cell
MSTO-211H,CVCL_1430,cell
MSTO211H,CVCL_1430,cell
MUGCHOR1,CVCL_9277,cell
MUTJ,CVCL_EI98,cell
MUTZ-5,CVCL_1873,cell
MUTZ3,CVCL_1433,cell
MV-4-11,CVCL_0064,cell
MV4-11,CVCL_0064,cell
MV411,CVCL_0064,cell
MY-M12,CVCL_3035,cell
MZ1-PC,CVCL_1434,cell
MZ2-MEL,CVCL_1435,cell
MZ7-mel,CVCL_1436,cell
Mac-1,CVCL_H631,cell
Mac-2A,CVCL_H637,cell
Mac-2B,CVCL_H638,cell
Malme-3M,CVCL_1438,cell
MeWo,CVCL_0445,cell
Mewo,CVCL_0445,cell
Mino,CVCL_1872,cell
Mo-T,CVCL_1439,cell
Mono-Mac-6,CVCL_1426,cell
NALM-1,CVCL_0091,cell
NALM-19,CVCL_1835,cell
NALM-6,CVCL_0092,cell
NALM6,CVCL_0092,cell
NAMALWA,CVCL_0067,cell
NB(TU)1-10,CVCL_3041,cell
NB-1,CVCL_1440,cell
NB-4,CVCL_0005,cell
NB1,CVCL_1440,cell
NB10,CVCL_1441,cell
NB12,CVCL_1442,cell
NB13,CVCL_1443,cell
NB14,CVCL_1444,cell
NB1643,CVCL_5627,cell
NB17,CVCL_1445,cell
NB4,CVCL_0005,cell
NB5,CVCL_8822,cell
NB6,CVCL_8823,cell
NB69,CVCL_1448,cell
NB7,CVCL_8824,cell
NCC-StC-K140,CVCL_3055,cell
NCC010,CVCL_X505,cell
NCC021,CVCL_X506,cell
NCCIT,CVCL_1451,cell
NCI-H1048,CVCL_1453,cell
NCI-H1092,CVCL_1454,cell
NCI-H1105,CVCL_1455,cell
NCI-H1112,CVCL_A485,cell
NCI-H1155,CVCL_1456,cell
NCI-H1184,CVCL_1458,cell
NCI-H128,CVCL_1460,cell
NCI-H1299,CVCL_0060,cell
NCI-H1304,CVCL_1462,cell
NCI-H1339,CVCL_A472,cell
NCI-H1341,CVCL_1463,cell
NCI-H1355,CVCL_1464,cell
NCI-H1373,CVCL_1465,cell
NCI-H1385,CVCL_1466,cell
NCI-H1395,CVCL_1467,cell
NCI-H1417,CVCL_1469,cell
NCI-H1435,CVCL_1470,cell
NCI-H1436,CVCL_1471,cell
NCI-H1437,CVCL_1472,cell
NCI-H146,CVCL_1473,cell
NCI-H1522,CVCL_1474,cell
NCI-H1563,CVCL_1475,cell
NCI-H1568,CVCL_1476,cell
NCI-H1573,CVCL_1478,cell
NCI-H1581,CVCL_1479,cell
NCI-H1618,CVCL_1480,cell
NCI-H1623,CVCL_1481,cell
NCI-H1648,CVCL_1482,cell
NCI-H1650,CVCL_1483,cell
NCI-H1651,CVCL_1484,cell
NCI-H1666,CVCL_1485,cell
NCI-H1672,CVCL_1486,cell
NCI-H1688,CVCL_1487,cell
NCI-H1693,CVCL_1488,cell
NCI-H1694,CVCL_1489,cell
NCI-H1703,CVCL_1490,cell
NCI-H1734,CVCL_1491,cell
NCI-H1755,CVCL_1492,cell
NCI-H1770,CVCL_1493,cell
NCI-H1781,CVCL_1494,cell
NCI-H1792,CVCL_1495,cell
NCI-H1793,CVCL_1496,cell
NCI-H1819,CVCL_1497,cell
NCI-H1836,CVCL_1498,cell
NCI-H1838,CVCL_1499,cell
NCI-H1869,CVCL_1500,cell
NCI-H187,CVCL_1501,cell
NCI-H1876,CVCL_1503,cell
NCI-H1882,CVCL_1504,cell
NCI-H1915,CVCL_1505,cell
NCI-H1930,CVCL_1507,cell
NCI-H1944,CVCL_1508,cell
NCI-H196,CVCL_1509,cell
NCI-H1963,CVCL_1510,cell
NCI-H1975,CVCL_1511,cell
NCI-H1993,CVCL_1512,cell
NCI-H2004RT,CVCL_WS70,cell
NCI-H2009,CVCL_1514,cell
NCI-H2023,CVCL_1515,cell
NCI-H2029,CVCL_1516,cell
NCI-H2030,CVCL_1517,cell
NCI-H2052,CVCL_1518,cell
