synonym,standard_id,type
CAL-54,CVCL_1111,cell
CAL-62,CVCL_1112,cell
CAL-72,CVCL_1113,cell
CAL-78,CVCL_1809,cell
CAL-85-1,CVCL_1114,cell
CAL120,CVCL_1104,cell
CAL12T,CVCL_1105,cell
CAL148,CVCL_1106,cell
CAL27,CVCL_1107,cell
CAL29,CVCL_1808,cell
CAL33,CVCL_1108,cell
CAL51,CVCL_1110,cell
CAL54,CVCL_1111,cell
CAL62,CVCL_1112,cell
CAL72,CVCL_1113,cell
CAL78,CVCL_1809,cell
CAL851,CVCL_1114,cell
CALU1,CVCL_0608,cell
CALU3,CVCL_0609,cell
CALU6,CVCL_0236,cell
CAMA-1,CVCL_1115,cell
CAMA1,CVCL_1115,cell
CAOV3,CVCL_0201,cell
CAPAN-1,CVCL_0237,cell
CAPAN-2,CVCL_0026,cell
CAPAN1,CVCL_0237,cell
CAPAN2,CVCL_0026,cell
CAS-1,CVCL_1117,cell
CAS1,CVCL_1117,cell
CASKI,CVCL_1100,cell
CCA,CVCL_N717,cell
CCD1103KIDTR,CVCL_3298,cell
CCD1105KIDTR,CVCL_3299,cell
CCF-STTG1,CVCL_1118,cell
CCFSTTG1,CVCL_1118,cell
CCK-81,CVCL_2873,cell
CCK81,CVCL_2873,cell
CCLFPEDS0003T,CVCL_B3PL,cell
CCLFPEDS0008T,CVCL_B3PM,cell
CCLP1,CVCL_0205,cell
CCRF-CEM,CVCL_0207,cell
CCRFCEM,CVCL_0207,cell
CCSW1,CVCL_A429,cell
CESS,CVCL_0209,cell
CFPAC-1,CVCL_1119,cell
CFPAC1,CVCL_1119,cell
CGTH-W-1,CVCL_1120,cell
CH-157MN,CVCL_5723,cell
CH157MN,CVCL_5723,cell
CHA-59,CVCL_GZ61,cell
CHAGOK1,CVCL_1121,cell
CHL,CVCL_0238,cell
CHL-1,CVCL_1122,cell
CHL1,CVCL_1122,cell
CHLA-10,CVCL_6583,cell
CHLA-25,CVCL_M152,cell
CHLA-258,CVCL_A058,cell
CHLA-32,CVCL_M151,cell
CHLA-9,CVCL_M150,cell
CHLA06ATRT,CVCL_AQ42,cell
CHLA10,CVCL_6583,cell
CHLA15,CVCL_6594,cell
CHLA258,CVCL_A058,cell
CHLA266,CVCL_M149,cell
CHLA352,CVCL_M153,cell
CHLA57,CVCL_0B49,cell
CHLA9,CVCL_M150,cell
CHP-100,CVCL_7166,cell
CHP-126,CVCL_1123,cell
CHP-134,CVCL_1124,cell
CHP-212,CVCL_1125,cell
CHP100L,CVCL_IV94,cell
CHP212,CVCL_1125,cell
CHSA0011,CVCL_X483,cell
CHSA0108,CVCL_X484,cell
CHSA8926,CVCL_X485,cell
CI,CVCL_Y548,cell
CI-1,CVCL_1861,cell
CII,CVCL_0D73,cell
CJM,CVCL_U797,cell
CL-11,CVCL_1978,cell
CL-14,CVCL_1979,cell
CL-34,CVCL_1980,cell
CL-40,CVCL_1982,cell
CL11,CVCL_1978,cell
CL14,CVCL_1979,cell
CL34,CVCL_1980,cell
CL40,CVCL_1982,cell
CLS439,CVCL_5982,cell
CME1,CVCL_N586,cell
CMK,CVCL_0216,cell
CMK-11-5,CVCL_0217,cell
CMK-86,CVCL_2804,cell
CML-T1,CVCL_1126,cell
CNS:SF-268,CVCL_1689,cell
CNS:SF-295,CVCL_1690,cell
CNS:SF-539,CVCL_1691,cell
CNS:SNB-19,CVCL_0535,cell
CNS:SNB-75,CVCL_1706,cell
CNS:U251,CVCL_0021,cell
CO:COLO 205,CVCL_0218,cell
CO:HCC-2998,CVCL_1266,cell
CO:HCT-116,CVCL_0291,cell
CO:HCT-15,CVCL_0292,cell
CO:HT29,CVCL_0320,cell
CO:KM12,CVCL_1331,cell
CO:SW-620,CVCL_0547,cell
COG-E-352,CVCL_M153,cell
COGAR359,CVCL_RS25,cell
COGE352,CVCL_M153,cell
COGN278,CVCL_AX49,cell
COGN305,CVCL_AX42,cell
COLO 201,CVCL_1987,cell
COLO 205,CVCL_0218,cell
COLO 668,CVCL_1128,cell
COLO 684,CVCL_1132,cell
COLO 741,CVCL_1133,cell
COLO 775,CVCL_1996,cell
COLO 792,CVCL_1134,cell
COLO 829,CVCL_1137,cell
COLO-205,CVCL_0218,cell
COLO-320,CVCL_1989,cell
COLO-320-HSR,CVCL_0220,cell
COLO-668,CVCL_1128,cell
COLO-677,CVCL_1862,cell
COLO-678,CVCL_1129,cell
COLO-679,CVCL_1130,cell
COLO-680N,CVCL_1131,cell
COLO-684,CVCL_1132,cell
COLO-704,CVCL_1994,cell
COLO-783,CVCL_1997,cell
COLO-792,CVCL_1134,cell
COLO-800,CVCL_1135,cell
COLO-818,CVCL_1998,cell
COLO-824,CVCL_1136,cell
COLO-829,CVCL_1137,cell
COLO-849,CVCL_2002,cell
COLO201,CVCL_1987,cell
COLO205,CVCL_0218,cell
COLO320,CVCL_1989,cell
COLO668,CVCL_1128,cell
COLO678,CVCL_1129,cell
COLO679,CVCL_1130,cell
COLO680N,CVCL_1131,cell
COLO684,CVCL_1132,cell
COLO699,CVCL_1992,cell
COLO741,CVCL_1133,cell
COLO783,CVCL_1997,cell
COLO792,CVCL_1134,cell
COLO800,CVCL_1135,cell
COLO824,CVCL_1136,cell
COLO829,CVCL_1137,cell
COR L88,CVCL_1141,cell
COR-L105,CVCL_1138,cell
COR-L23,CVCL_1139,cell
COR-L24,CVCL_2409,cell
COR-L279,CVCL_1140,cell
COR-L303,CVCL_2411,cell
COR-L311,CVCL_2412,cell
COR-L32,CVCL_2413,cell
COR-L321,CVCL_2414,cell
COR-L47,CVCL_2415,cell
COR-L51,CVCL_2416,cell
COR-L88,CVCL_1141,cell
COR-L95,CVCL_2418,cell
CORL105,CVCL_1138,cell
CORL23,CVCL_1139,cell
CORL279,CVCL_1140,cell
CORL311,CVCL_2412,cell
CORL47,CVCL_2415,cell
COV318,CVCL_2419,cell
COV362,CVCL_2420,cell
COV413A,CVCL_2422,cell
COV434,CVCL_2010,cell
COV504,CVCL_2424,cell
COV644,CVCL_2425,cell
CP50-MEL-B,CVCL_1143,cell
CP66-MEL,CVCL_1144,cell
CP67-MEL,CVCL_1145,cell
CPC-N,CVCL_1146,cell
CRO-AP2,CVCL_1147,cell
CS1,CVCL_T023,cell
CTB-1,CVCL_1149,cell
CTV-1,CVCL_1150,cell
CW-2,CVCL_1151,cell
CW9019,CVCL_N820,cell
CX1,CVCL_2011,cell
Ca-Ski,CVCL_1100,cell
Ca9-22,CVCL_1102,cell
CaR-1,CVCL_1116,cell
Caco-2,CVCL_0025,cell
Caki-1,CVCL_0234,cell
Caki-2,CVCL_0235,cell
Calu-1,CVCL_0608,cell
Calu-3,CVCL_0609,cell
Calu-6,CVCL_0236,cell
Caov-3,CVCL_0201,cell
Caov-4,CVCL_0202,cell
Capan-1,CVCL_0237,cell
Capan-2,CVCL_0026,cell
ChaGo-K-1,CVCL_1121,cell
D-245MG,CVCL_1152,cell
D-247MG,CVCL_1153,cell
D-263MG,CVCL_1154,cell
D-283MED,CVCL_1155,cell
D-336MG,CVCL_1156,cell
D-392MG,CVCL_1158,cell
D-423MG,CVCL_1160,cell
D-502MG,CVCL_1162,cell
D-542MG,CVCL_1164,cell
D-566MG,CVCL_1166,cell
D10,CVCL_H945,cell
D283 Med,CVCL_1155,cell
D283MED,CVCL_1155,cell
D341,CVCL_0018,cell
D341 Med,CVCL_0018,cell
D425,CVCL_1275,cell
D458,CVCL_1161,cell
DAN-G,CVCL_0243,cell
DANG,CVCL_0243,cell
DAOY,CVCL_1167,cell
DAUDI,CVCL_0008,cell
DB,CVCL_1168,cell
DBTRG-05MG,CVCL_1169,cell
DBTRG05MG,CVCL_1169,cell
DEL,CVCL_1170,cell
DERL-2,CVCL_2016,cell
DETROIT562,CVCL_1171,cell
DFCI024,CVCL_A762,cell
DFCI032,CVCL_A763,cell
DG-75,CVCL_0244,cell
DG75,CVCL_0244,cell
DJM-1,CVCL_1172,cell
DK-MG,CVCL_1173,cell
DKMG,CVCL_1173,cell
DLD-1,CVCL_0248,cell
DLD1,CVCL_0248,cell
DM-3,CVCL_2019,cell
DMS 114,CVCL_1174,cell
DMS 153,CVCL_1175,cell
DMS 187,CVCL_Z041,cell
DMS 273,CVCL_1176,cell
DMS 454,CVCL_2438,cell
DMS 53,CVCL_1177,cell
DMS 79,CVCL_1178,cell
DMS-114,CVCL_1174,cell
DMS-273,CVCL_1176,cell
DMS-53,CVCL_1177,cell
DMS-79,CVCL_1178,cell
DMS273,CVCL_1176,cell
DMS53,CVCL_1177,cell
DMS79,CVCL_1178,cell
DND-41,CVCL_2022,cell
DOHH-2,CVCL_1179,cell
DOHH2,CVCL_1179,cell
DOK,CVCL_1180,cell
DOTC24510,CVCL_1181,cell
DOV13,CVCL_6774,cell
DSH1,CVCL_1182,cell
DU 145,CVCL_0105,cell
DU-145,CVCL_0105,cell
DU-4475,CVCL_1183,cell
DU145,CVCL_0105,cell
DU4475,CVCL_1183,cell
DV-90,CVCL_1184,cell
Daoy,CVCL_1167,cell
Daudi,CVCL_0008,cell
Detroit 562,CVCL_1171,cell
